cohort,Cage,Sex,Rank_prebaseline,Food,Location,Days_to_stable,Rank_postbaseline,SpoutX,SpoutY
20260222,9,M,"3,2,1",restr,top,6,"3,1,2",300.0,520.0
20260222,10,F,"2,1,3",restr,top,6,"2,1,3",280.0,550.0
20260222,11,M,"1,3,2",ctrl,top,3,"1,3,2",200.0,520.0
20260222,12,F,"1,2,3",restr,bot,4,"1,2,3",1020.0,520.0
20260222,13,M,"1,3,2",restr,bot,3,"1,3,2",210.0,520.0
20260222,14,F,"3,2,1",ctrl,bot,11,"3,2,1",220.0,505.0
20260222,15,M,"2,1,3",ctrl,bot,3,"2,1,3",250.0,530.0
20260222,16,F,"3,1,2",ctrl,top,6,"1,3,2",,
12192025,9,M,"1,3,2",restr,top,5,,300.0,520.0
12192025,10,F,"3,1,2",restr,top,10,,280.0,550.0
12192025,11,F,"2,1,3",ctrl,top,5,,200.0,520.0
12192025,12,F,"3,1,2",ctrl,bot,8,,1020.0,520.0
12192025,13,M,"3,1,2",restr,bot,4,,210.0,520.0
12192025,14,M,"2,1,3",ctrl,bot,3,,220.0,505.0
12192025,15,F,"1,3,2",restr,bot,7,,250.0,530.0
